标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
中央公馆 精装修两房 环境好 采光好 急卖 急卖,2室2厅,90m²,中层(共29层),2011年建造,12778元/m²,115万,,江夏中央公馆  江夏-纸坊-江夏大道128号附1号,https://wuhan.anjuke.com/prop/view/A1867189971?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1ab30.11377016&position=289&kwtype=filter&now_time=1571039689
地铁口 全朝南 毛坯大2房 满2年 中间楼层 百瑞景四期,2室2厅,91m²,高层(共34层),2014年建造,28791元/m²,262万,近地铁环境优美品质小区,百瑞景中央生活区(四期)  武昌-丁字桥-宝通寺路28号,https://wuhan.anjuke.com/prop/view/A1866657423?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1ac24.90252194&position=290&kwtype=filter&now_time=1571039689
地铁口成熟社区统建天成美雅 精装修两房出售 学位未用,2室2厅,87m²,中层(共31层),2015年建造,21609元/m²,188万,配套成熟次新小区品质小区,统建天成美雅  洪山-珞瑜东路-光谷一路36号,https://wuhan.anjuke.com/prop/view/A1868371401?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1ad08.58671211&position=291&kwtype=filter&now_time=1571039689
武汉天地御江璟城 老 精装两房 全房朝南 带暖气 保养好,2室2厅,100m²,低层(共32层),2014年建造,55000元/m²,550万,南北通透环境优美品质小区,武汉天地御江璟城  江岸-永清街-永祥路6号,https://wuhan.anjuke.com/prop/view/A1863547869?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1ade4.90837369&position=292&kwtype=filter&now_time=1571039689
光谷2号地铁旁边~中冶创业苑 精装拎包入住 通透两房~出售,2室2厅,71m²,中层(共18层),2014年建造,16823元/m²,120万,近地铁配套成熟交通便利,中冶创业苑  江夏-藏龙岛-高新六路,https://wuhan.anjuke.com/prop/view/A1832729979?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429c9f1aec7.83635528&position=293&kwtype=filter&now_time=1571039689
海底捞楼上裕亚银湖城 纯毛坯4房户型方正 小区环境好 商圈近,3室2厅,134m²,低层(共32层),2015年建造,13060元/m²,175万,南北通透环境优美,"裕亚银湖城南苑  东西湖-金银湖-金银湖路,近金银湖南四街",https://wuhan.anjuke.com/prop/view/A1835748669?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1afb4.54457221&position=294&kwtype=filter&now_time=1571039689
四新 地铁口 新城璟悦城 精装三房带车位只要150万 懂的来,3室2厅,88m²,中层(共34层),2017年建造,16107元/m²,142万,采光好近地铁品质小区,新城璟悦城  汉阳-四新-四新中路,https://wuhan.anjuke.com/prop/view/A1840091601?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1b090.41225257&position=295&kwtype=filter&now_time=1571039689
恒大城精装三房  南北通透  随时看房,3室2厅,93m²,中层(共32层),2015年建造,13871元/m²,129万,交通便利安全性高品质小区,武汉恒大城一期  东西湖-金银湖-环湖路43号,https://wuhan.anjuke.com/prop/view/A1868539899?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1b171.45719636&position=296&kwtype=filter&now_time=1571039689
永旺旁，小区自带华师附中华师附小，花园里，南北通透户型。,4室2厅,137m²,高层(共33层),2017年建造,15613元/m²,215万,新房房源南北通透环境优美,美联奥林匹克花园五期  东西湖-常青花园-奥园西路2号,https://wuhan.anjuke.com/prop/view/A1799980239?from=filter&spread=commsearch_p&uniqid=pc5da429c9f1b250.87450009&position=297&kwtype=filter&now_time=1571039689
宝藏房源！知名物业!拎包即住！看房方便，业主诚心出售！,2室1厅,47m²,低层(共21层),2008年建造,24790元/m²,118万,近地铁欧式风品质小区,万科圆方  江汉-唐家墩-马场路136号,https://wuhan.anjuke.com/prop/view/A1862350041?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429c9f1b345.05810460&position=298&kwtype=filter&now_time=1571039689
劲爆房源 爱佳豪装小3房 全房带暖气  中央空调 看房有钥匙,3室2厅,80m²,中层(共34层),2015年建造,18080元/m²,145万,近地铁,爱佳七九八香澜水岸  蔡甸-江汉大学-车城西路,https://wuhan.anjuke.com/prop/view/A1867679391?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429c9f1b439.15582089&position=299&kwtype=filter&now_time=1571039689
真信息 清江山水3.1期 高区景观楼层 自住精装修可拎包入住,3室2厅,106m²,中层(共33层),2016年建造,20000元/m²,212万,近学校配套成熟繁华地段,清江山水  洪山-光谷软件园-软件园中路10号,https://wuhan.anjuke.com/prop/view/A1860739725?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da429c9f1b525.95551863&position=300&kwtype=filter&now_time=1571039689
急售急售 蔡甸城区 汉阳一中对面 正阳大悦城 毛坯房 有钥匙,2室2厅,88m²,低层(共29层),2015年建造,9318元/m²,82万,近地铁配套成熟环境优美,正阳大悦城  蔡甸-蔡甸城区-蔡甸大街,https://wuhan.anjuke.com/prop/view/A1867072719?from=filter&spread=commsearch_p&uniqid=pc5da429e29cd9a8.80314237&position=301&kwtype=filter&now_time=1571039714
保利时代 自住精装三房 拎包入住 预约看房 证满二 还在,3室2厅,106m²,低层(共34层),2014年建造,26887元/m²,285万,南北通透拎包入住品质小区,保利时代(北区)  洪山-光谷广场-关山大道332号,https://wuhan.anjuke.com/prop/view/A1853135517?from=filter&spread=commsearch_p&uniqid=pc5da429e29cdd63.57274851&position=302&kwtype=filter&now_time=1571039714
118平 三房两卫 南北通 开放式厨房 精装修 买家私就入住,3室2厅,120m²,高层(共33层),2017年建造,20743元/m²,250万,,金地自在城(西区)  洪山-欢乐谷-团结大道,https://wuhan.anjuke.com/prop/view/A1865931753?from=filter&spread=commsearch_p&uniqid=pc5da429e29cde52.38096518&position=303&kwtype=filter&now_time=1571039714
新上大华三房 真实在售 真实价格 好楼层 采光好 有钥匙,3室2厅,92m²,高层(共34层),2018年建造,19565元/m²,180万,全南户型配套成熟繁华地段,大华铂金郦府  青山-余家头-园林路,https://wuhan.anjuke.com/prop/view/A1824384171?from=filter&spread=commsearch_p&uniqid=pc5da429e29cdf28.88645037&position=304&kwtype=filter&now_time=1571039714
万飞 真 房源 碧桂园泰富城5.2米复式通天然气永旺旁不限购,1室1厅,37m²,高层(共19层),2017年建造,14324元/m²,53万,,碧桂园泰富城  汉阳-四新-蔷薇路,https://wuhan.anjuke.com/prop/view/A1862629077?from=filter&spread=commsearch_p&uniqid=pc5da429e29cdfe9.73088845&position=305&kwtype=filter&now_time=1571039714
美加外校旁 美加湖滨新城4期 毛坯三房 明厨明卫 看房有钥匙,3室2厅,111m²,低层(共33层),2017年建造,11679元/m²,130万,环境优美次新小区品质小区,美加湖滨新城  江夏-庙山-江夏大道49号,https://wuhan.anjuke.com/prop/view/A1806824685?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce091.60027348&position=306&kwtype=filter&now_time=1571039714
黄陂广场精致两房88平98万中间楼层老证上手首付20万搞定,2室2厅,88m²,高层(共18层),2010年建造,11136元/m²,98万,,黄陂广场  黄陂-前川-锦秀道198号,https://wuhan.anjuke.com/prop/view/A1849093599?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce150.17139676&position=307&kwtype=filter&now_time=1571039714
万科品质小区 满二 精装大两房 低单价 刚需优选,2室2厅,82m²,低层(共28层),2015年建造,14634元/m²,120万,南北通透环境优美,万科金色城市18地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1793175501?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce217.25861703&position=308&kwtype=filter&now_time=1571039714
光谷东，碧桂园生态城左岸，离19号线地铁花山河站100米,3室2厅,104m²,中层(共32层),2018年建造,13365元/m²,139万,安全性高繁华地段品质小区,碧桂园生态城左岸  洪山-光谷东-夏芒路28号,https://wuhan.anjuke.com/prop/view/A1850308887?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce2d2.83570683&position=309&kwtype=filter&now_time=1571039714
万达小区 钥匙在我身上！全房地暖 真实价格 有车位 随时看房,2室2厅,92m²,低层(共33层),2010年建造,25870元/m²,238万,近地铁,万达广场住宅小区  江汉-唐家墩-唐家墩路5号,https://wuhan.anjuke.com/prop/view/A1866297711?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29ce3a5.02289411&position=310&kwtype=filter&now_time=1571039714
4号线地铁口，内环，一线江景loft，挂角户型，270度观江,4室2厅,102m²,低层(共36层),2019年建造,22059元/m²,225万,新房房源近地铁配套成熟,碧桂园晴川府  汉阳-钟家村-滨江大道188-附8号,https://wuhan.anjuke.com/prop/view/A1824160071?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce460.20069147&position=311&kwtype=filter&now_time=1571039714
汉阳四新华发未来荟 12号线地铁口 永旺旁首付38万2房急售,2室2厅,75m²,中层(共34层),2016年建造,16667元/m²,125万,南北通透环境优美,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1859474829?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce524.71291445&position=312&kwtype=filter&now_time=1571039714
阳逻瀚华天地，首付低，金典两房，证满，一线湖景房，地铁口房。,2室2厅,90m²,中层(共15层),2015年建造,7556元/m²,68万,,瀚华天地  新洲-阳逻开发区-余泊路,https://wuhan.anjuke.com/prop/view/A1841073321?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce639.31374165&position=313&kwtype=filter&now_time=1571039714
保利公园九里 中间楼层 采光好 两房 近地铁 户型方正,2室2厅,80m²,中层(共34层),2012年建造,20625元/m²,165万,,保利公园九里(1-4期)  洪山-新南湖-南湖路,https://wuhan.anjuke.com/prop/view/A1774097751?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce6f2.97951817&position=314&kwtype=filter&now_time=1571039714
藏龙岛阳光100大湖第三房两卫，赠送入户花园，精装修中间楼层,3室2厅,114m²,中层(共18层),2015年建造,12664元/m²,145万,配套成熟安全性高品质小区,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1850389851?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce7b3.13444561&position=315&kwtype=filter&now_time=1571039714
财大附近 自由城精致精装修小三房，两年，南北通透,3室2厅,89m²,中层(共33层),2014年建造,15955元/m²,142万,南北通透环境优美,光谷自由城  洪山-光谷软件园-水蓝路,https://wuhan.anjuke.com/prop/view/A1866065223?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce879.68383576&position=316&kwtype=filter&now_time=1571039714
东方花城 无税 精装两房 南北通透 拎包入住,2室2厅,89m²,高层(共6层),2004年建造,14719元/m²,131万,近地铁近学校主卧朝南,东方花城  硚口-古田-古田路67号,https://wuhan.anjuke.com/prop/view/A1796967075?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29ce930.44320870&position=317&kwtype=filter&now_time=1571039714
华润紫云府高层中装两房，户型通透，随时看房，诚心出售,2室2厅,74m²,高层(共34层),2015年建造,16216元/m²,120万,小户型环境优美交通便利,华润紫云府二期  洪山-白沙洲-白沙四路,https://wuhan.anjuke.com/prop/view/A1863639993?from=filter&spread=commsearch_p&uniqid=pc5da429e29ce9f2.45035380&position=318&kwtype=filter&now_time=1571039714
保利香颂花园洋房 房东诚心出售  房源真实 随时可以实地看房,3室2厅,97m²,高层(共11层),2015年建造,17714元/m²,172万,南北通透环境优美,保利香颂  汉阳-升官渡-四新大道,https://wuhan.anjuke.com/prop/view/A1836567201?from=filter&spread=commsearch_p&uniqid=pc5da429e29ceab5.06499177&position=319&kwtype=filter&now_time=1571039714
融创公园壹号三期澜岸 南北通透 户型方正 原装毛坯 随时看房,3室2厅,124m²,高层(共48层),2018年建造,16935元/m²,210万,南北通透近地铁环境优美,融创澜岸  江岸-后湖-塔子湖东路,https://wuhan.anjuke.com/prop/view/A1869454083?from=filter&spread=commsearch_p&uniqid=pc5da429e29ceb68.46932155&position=320&kwtype=filter&now_time=1571039714
铁机新居 精装两房二环内 业主一天未住 家具家电全送随时看房,2室1厅,71m²,高层(共34层),2018年建造,14776元/m²,105万,,铁机新居  洪山-欢乐谷-才汇巷,https://wuhan.anjuke.com/prop/view/A1816319901?from=filter&spread=commsearch_p&uniqid=pc5da429e29cec20.24270941&position=321&kwtype=filter&now_time=1571039714
真实在售 东方玉龙居大两房 产证在手 业主诚心出售 随时看房,2室2厅,100m²,高层(共29层),2012年建造,16000元/m²,160万,近地铁南北通透卫浴全明,东方玉龙居  洪山-欢乐谷-仁和路,https://wuhan.anjuke.com/prop/view/A1869293253?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29cece8.23110928&position=322&kwtype=filter&now_time=1571039714
欢乐大道 福星惠誉东湖城二期 精装三房 中式装修 满二,3室2厅,106m²,中层(共34层),2017年建造,21698元/m²,230万,近地铁繁华地段品质小区,福星惠誉东湖城(二期)  洪山-欢乐谷-欢乐大道363号,https://wuhan.anjuke.com/prop/view/A1848053973?from=filter&spread=commsearch_p&uniqid=pc5da429e29ceda9.52793607&position=323&kwtype=filter&now_time=1571039714
江城大道 华发未来荟 品质高端精装小区 朝南户型,2室2厅,74m²,中层(共45层),2016年建造,17162元/m²,127万,南北通透环境优美品质小区,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1784595405?from=filter&spread=commsearch_p&uniqid=pc5da429e29cef16.84472206&position=324&kwtype=filter&now_time=1571039714
万科红郡137平大房子 送院子 有学位,4室2厅,138m²,共1层,2013年建造,26449元/m²,365万,,万科红郡  洪山-光谷软件园-武大园路1号,https://wuhan.anjuke.com/prop/view/A1831807623?from=filter&spread=commsearch_p&uniqid=pc5da429e29cefd5.81165901&position=325&kwtype=filter&now_time=1571039714
后湖大道 地铁口 汉口花园二期 精装修 拎包入住 预约看房,3室2厅,128m²,高层(共11层),2005年建造,17188元/m²,220万,近地铁交通便利繁华地段,汉口花园逸松庭  江岸-后湖-后湖大道54号,https://wuhan.anjuke.com/prop/view/A1851855501?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf098.32075745&position=326&kwtype=filter&now_time=1571039714
位置非常好就在中心港菜场楼上，下来购物，地铁都在附近,4室2厅,147m²,中层(共6层),2005年建造,7687元/m²,113万,,红心嘉园  江夏-纸坊-古驿道,https://wuhan.anjuke.com/prop/view/A1867012455?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf154.25736545&position=327&kwtype=filter&now_time=1571039714
中建光谷之星 次新小区 地铁口 通透三房 诚心出售,3室2厅,132m²,中层(共33层),2018年建造,17803元/m²,235万,南北通透近地铁环境优美,中建光谷之星  洪山-光谷东-高新大道,https://wuhan.anjuke.com/prop/view/A1845952311?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf217.79323058&position=328&kwtype=filter&now_time=1571039714
钻石楼盘 星汇君泊 拎包入住 学校旁边 看房方便 地铁8号线,2室2厅,91m²,中层(共32层),2013年建造,21913元/m²,200万,采光好拎包入住品质小区,越秀星汇君泊  江岸-后湖-塔子湖东路,https://wuhan.anjuke.com/prop/view/A1799317965?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf2c7.50447989&position=329&kwtype=filter&now_time=1571039714
大花岭小学对面南车花园 豪华婚房装修 好楼层 只需拎包入住！,2室2厅,92m²,中层(共33层),2015年建造,15000元/m²,138万,近地铁配套成熟品质小区,南车花园  江夏-文化大道-大花岭街,https://wuhan.anjuke.com/prop/view/A1864725177?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf386.76882900&position=330&kwtype=filter&now_time=1571039714
武大旁东湖楚天府高层通透精装100平3居急售，368万无税！,3室2厅,100m²,中层(共31层),2016年建造,36599元/m²,368万,近地铁配套成熟繁华地段,东湖楚天府(公寓)  洪山-广埠屯-八一路340号,https://wuhan.anjuke.com/prop/view/A1798325589?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf443.46080965&position=331&kwtype=filter&now_time=1571039714
亚安花园 赵家条地铁口 3室2厅2卫 南北通透 有天然气！,3室2厅,121m²,中层(共7层),2005年建造,18595元/m²,225万,近地铁三房朝南配套成熟,亚安花园  江岸-二七路-建设大道832号,https://wuhan.anjuke.com/prop/view/A1854529563?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29cf511.32206516&position=332&kwtype=filter&now_time=1571039714
中央名都 黄陂广场旁 未来地铁口 老证无税 精装电梯房,2室2厅,96m²,低层(共12层),2012年建造,10938元/m²,105万,大两房厅带阳台品质小区,中央名都(黄陂)  黄陂-前川-百乐街21号,https://wuhan.anjuke.com/prop/view/A1869623121?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf5c9.92021573&position=333&kwtype=filter&now_time=1571039714
恒大御府 精装 三房 配套成熟 居住舒适 有证 可贷款,3室2厅,101m²,中层(共33层),2016年建造,21287元/m²,215万,,恒大御府  青山-建设二路-冶金大道,https://wuhan.anjuke.com/prop/view/A1856488089?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf687.71189746&position=334&kwtype=filter&now_time=1571039714
江南新天地，南北通透好楼层，全房暖气，品牌家具家电，随时看,3室2厅,130m²,高层(共32层),2012年建造,13846元/m²,180万,南北通透近地铁品质小区,江南新天地(江夏)  江夏-文化大道-文化大道,https://wuhan.anjuke.com/prop/view/A1856107605?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf748.14102708&position=335&kwtype=filter&now_time=1571039714
大华铂金瑞府一线江景房，视野无敌90平2房急售价200万,2室2厅,90m²,高层(共45层),2017年建造,22222元/m²,200万,配套成熟繁华地段品质小区,大华铂金郦府  青山-余家头-园林路,https://wuhan.anjuke.com/prop/view/A1770980313?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf7f1.01330367&position=336&kwtype=filter&now_time=1571039714
业主急售 后湖绿地汉口中心 毛坯三房 东边户 双地铁口近永旺,3室2厅,103m²,低层(共33层),2017年建造,17961元/m²,185万,近地铁交通便利安全性高,绿地汉口中心  江岸-后湖-健美街,https://wuhan.anjuke.com/prop/view/A1825472307?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf8b2.67520088&position=337&kwtype=filter&now_time=1571039714
生活交通配套齐全出门有商场 坐车有地铁 都在家门口看房有钥匙,3室2厅,92m²,高层(共40层),2016年建造,15676元/m²,145万,近地铁配套成熟安全性高,"保利上城  洪山-白沙洲-白沙洲大道,近江国路",https://wuhan.anjuke.com/prop/view/A1850050299?from=filter&spread=commsearch_p&uniqid=pc5da429e29cf978.17728029&position=338&kwtype=filter&now_time=1571039714
急售江大旁  精装修 大两房 南北通透 诚心出售  只卖一周,2室2厅,90m²,中层(共18层),2013年建造,11667元/m²,105万,近地铁南北通透拎包入住,金桥普林斯顿  蔡甸-天鹅湖大道-博艺路,https://wuhan.anjuke.com/prop/view/A1838987643?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29cfa35.21696199&position=339&kwtype=filter&now_time=1571039714
盘龙城临空港新区，地铁直线距离500米，124平温馨精装三房,3室2厅,124m²,中层(共34层),2014年建造,10484元/m²,130万,南北通透环境优美,鼎鑫摩卡小镇  黄陂-盘龙城-露甲山路3号,https://wuhan.anjuke.com/prop/view/A1832374425?from=filter&spread=commsearch_p&uniqid=pc5da429e29cfaf0.61077984&position=340&kwtype=filter&now_time=1571039714
房东急售长江紫都精装两室，超大露台给热爱生活的你一个空间！,2室2厅,95m²,低层(共11层),2009年建造,15201元/m²,145万,环境优美交通便利繁华地段,中大长江紫都紫兰苑  武昌-武泰闸-江盛西路,https://wuhan.anjuke.com/prop/view/A1656932007?from=filter&spread=commsearch_p&uniqid=pc5da429e29cfba5.55663891&position=341&kwtype=filter&now_time=1571039714
常阳永清城 一般装修 161.5平560万元超值户型,4室2厅,161m²,高层(共32层),2008年建造,34783元/m²,560万,近地铁近学校南北通透,常阳永清城  江岸-永清街-解放大道1340号,https://wuhan.anjuke.com/prop/view/A1843519683?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29cfc73.00818830&position=342&kwtype=filter&now_time=1571039714
（力荐房源）汉口春天 精装大两房 对口辛家地小学 诚心卖,2室2厅,92m²,高层(共22层),2008年建造,18261元/m²,168万,近地铁近学校环境优美,汉口春天  硚口-古田-解放大道109号,https://wuhan.anjuke.com/prop/view/A1850496897?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29cfd35.26281392&position=343&kwtype=filter&now_time=1571039714
水陆社区 2室1厅 精装修 拎包入住 总价低 交通便利,2室1厅,60m²,中层(共8层),1999年建造,20833元/m²,125万,近地铁配套成熟繁华地段,水陆街社区  武昌-紫阳路-水陆街,https://wuhan.anjuke.com/prop/view/A1825287141?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29cfdf0.89120998&position=344&kwtype=filter&now_time=1571039714
捡漏房！保利西海岸大三房两卫毛坯急售！户型方正白菜价,3室2厅,108m²,低层(共27层),2015年建造,13426元/m²,145万,近地铁配套成熟品质小区,保利清能西海岸(北区)  江夏-藏龙岛-杨桥湖大道,https://wuhan.anjuke.com/prop/view/A1829786259?from=filter&spread=commsearch_p&uniqid=pc5da429e29cfeb6.12490867&position=345&kwtype=filter&now_time=1571039714
武大附中旁，广八路银海雅苑精装两房一厅（观景房）诚意出售,2室1厅,84m²,高层(共32层),2006年建造,30952元/m²,260万,近地铁近学校繁华地段,银海雅苑  洪山-广埠屯-广八路115号,https://wuhan.anjuke.com/prop/view/A1865177373?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29cff73.66093979&position=346&kwtype=filter&now_time=1571039714
汤逊湖学校 韵湖公园 精装三房 不靠三环 满二后期少 带学位,3室2厅,89m²,中层(共33层),2017年建造,17079元/m²,152万,交通便利繁华地段品质小区,天祥尚府  江夏-庙山-庙山中路,https://wuhan.anjuke.com/prop/view/A1831051047?from=filter&spread=commsearch_p&uniqid=pc5da429e29d0037.13200161&position=347&kwtype=filter&now_time=1571039714
友谊大道 青翠苑 友谊大道 中间楼层 价格可谈 房东 诚售,2室1厅,72m²,中层(共7层),1995年建造,13889元/m²,100万,近学校交通便利安全性高,青翠苑社区二号院  青山-友谊大道-义和路,https://wuhan.anjuke.com/prop/view/A1853215869?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da429e29d00f8.53004355&position=348&kwtype=filter&now_time=1571039714
急售高楼层一线湖景房 万科高尔夫城市花园四期老证精装修采光足,3室2厅,89m²,中层(共26层),2015年建造,18539元/m²,165万,景观房近地铁品质小区,万科高尔夫城市花园  东西湖-金银湖-金山大道特8号,https://wuhan.anjuke.com/prop/view/A1841149893?from=filter&spread=commsearch_p&uniqid=pc5da429e29d01b1.66905694&position=349&kwtype=filter&now_time=1571039714
名流人和天地 精装两居室90平96万 老 中间楼层 采光好,2室2厅,89m²,中层(共11层),2012年建造,10714元/m²,96万,南北通透环境优美,名流人和天地怡和园  黄陂-盘龙城-巨龙大道88号,https://wuhan.anjuke.com/prop/view/A1853006907?from=filter&spread=commsearch_p&uniqid=pc5da429e29d0276.27711561&position=350&kwtype=filter&now_time=1571039714
光谷步行街 世界城尚都 朝南小户型 70年产权 看房随时,1室1厅,56m²,高层(共30层),2008年建造,16964元/m²,95万,近地铁近学校南北通透,世界城尚都  洪山-光谷广场-光谷街,https://wuhan.anjuke.com/prop/view/A1846411941?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29d0332.25437620&position=351&kwtype=filter&now_time=1571039714
联投金色港湾 江大旁 一期老证三房一卫 南北通透 视野采光足,3室2厅,91m²,高层(共32层),2015年建造,19560元/m²,178万,小区中心中国风配套成熟,联投金色港湾  蔡甸-江汉大学-博学路6号,https://wuhan.anjuke.com/prop/view/A1804663983?from=filter&spread=commsearch_p&uniqid=pc5da429e29d03f8.50197527&position=352&kwtype=filter&now_time=1571039714
港东名居  采光超好 中装两室  拎包入住  随时看的好房子,2室2厅,79m²,低层(共18层),2013年建造,16076元/m²,127万,,绿景苑港东名居(一期)  洪山-广埠屯-北洋桥路,https://wuhan.anjuke.com/prop/view/A1840902753?from=filter&spread=commsearch_p&uniqid=pc5da429e29d04b2.24089561&position=353&kwtype=filter&now_time=1571039714
F空港中心城高端小区 精装两房  拎包入主 中间楼层采光好,2室2厅,78m²,低层(共30层),2015年建造,13205元/m²,103万,主卧朝南拎包入住近地铁,F、空港中心城  黄陂-盘龙城-巨龙大道157号,https://wuhan.anjuke.com/prop/view/A1851498705?from=filter&spread=commsearch_p&uniqid=pc5da429e29d0575.78216082&position=354&kwtype=filter&now_time=1571039714
新上，身份的象征！中建光谷之星一楼洋房带260平花园地下室,4室2厅,199m²,低层(共6层),2017年建造,25528元/m²,508万,南北通透环境优美,中建光谷之星  洪山-光谷东-高新大道,https://wuhan.anjuke.com/prop/view/A1838910441?from=filter&spread=commsearch_p&uniqid=pc5da429e29d0631.49940300&position=355&kwtype=filter&now_time=1571039714
泛海国际悦海园 精装三室 老证有学籍 高层南北通透随时看,3室2厅,101m²,高层(共32层),2014年建造,31683元/m²,320万,近地铁,泛海国际居住区悦海园  江汉-王家墩CBD-云杉路,https://wuhan.anjuke.com/prop/view/A1809389037?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da429e29d06f0.87651561&position=356&kwtype=filter&now_time=1571039714
观澜国际 老 豪华装2房 对口华师附小 中间楼层 采光极好,2室2厅,78m²,中层(共34层),2016年建造,17179元/m²,134万,南北通透环境优美,观澜国际  汉阳-四新-四新北路,https://wuhan.anjuke.com/prop/view/A1846590591?from=filter&spread=commsearch_p&uniqid=pc5da429e29d07b2.61812195&position=357&kwtype=filter&now_time=1571039714
地铁口 阳光丽景精装修大2房 非顶楼  老证 有固定车位,2室2厅,93m²,高层(共7层),2001年建造,12047元/m²,113万,近地铁近学校南北通透,阳光丽景  蔡甸-阳光丽景-联城路22号,https://wuhan.anjuke.com/prop/view/A1863747777?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29d0871.65607026&position=358&kwtype=filter&now_time=1571039714
居住环境优美  公园绿道 亲近自然 低总价三房145万,3室2厅,94m²,中层(共45层),2019年建造,15426元/m²,145万,安全性高繁华地段品质小区,卧龙墨水湖边(三四期)  汉阳-建港-江城大道,https://wuhan.anjuke.com/prop/view/A1860220965?from=filter&spread=commsearch_p&uniqid=pc5da429e29d0936.71056218&position=359&kwtype=filter&now_time=1571039714
五里新村 景江御水天成南北通透 无税三房随时看房,3室2厅,128m²,高层(共22层),2009年建造,18750元/m²,240万,近地铁近学校,景江御水天成  汉阳-钟家村-汉阳大道420号,https://wuhan.anjuke.com/prop/view/A1805327823?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da429e29d09f7.33400790&position=360&kwtype=filter&now_time=1571039714
抢抢抢 保利清能西海岸 单价D 采光好 有钥匙 手慢无 急售,2室2厅,77m²,中层(共27层),2017年建造,13247元/m²,102万,南北通透带泳池环境优美,保利清能西海岸(南区)  江夏-藏龙岛-杨桥湖大道,https://wuhan.anjuke.com/prop/view/A1861668975?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7c8d4.96583943&position=361&kwtype=filter&now_time=1571039730
金融万科魅力 旭辉御府 金地意境旁 新楼盘万科物业 急售急急,2室2厅,75m²,高层(共27层),2017年建造,13867元/m²,104万,远离马路采光好房型正,达尚城  江夏-东湖高新-流芳新街,https://wuhan.anjuke.com/prop/view/A1868750697?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cb45.63376504&position=362&kwtype=filter&now_time=1571039730
名流人和天地 全新毛坯 南北通透户型 两证两年后期费用低,3室2厅,111m²,中层(共30层),2013年建造,10811元/m²,120万,配套成熟繁华地段品质小区,名流人和天地风和园  黄陂-盘龙城-巨龙大道88号,https://wuhan.anjuke.com/prop/view/A1777613295?from=filter&spread=commsearch_p&uniqid=pc5da429f2c7cbf6.25647376&position=363&kwtype=filter&now_time=1571039730
